"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEPREFIX";
"1";"";"TRIMMER64X";"TRIMMER/64B";"R36";"Trimm resistor";"";
"1";"100R";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R1";"RESISTOR, European symbol";"";
"18";"100k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77";"RESISTOR, European symbol";"";
"5";"100nF";"CAPACITORCERAMICDISC/5";"CERAMICDISC/5";"C16, C17, C18, C19, C20";"CAPACITOR, European symbol";"";
"10";"10k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R16, R26, R27, R28, R29, R30, R31, R32, R33, R34";"RESISTOR, European symbol";"";
"10";"10nF";"CAPACITORCERAMICDISC/5";"CERAMICDISC/5";"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13";"CAPACITOR, European symbol";"";
"4";"10uF";"CAPACITOR/POLARIZEDE2.5-6";"E2,5-6";"C31, C32, C33, C34";"POLARIZED CAPACITOR, European symbol";"C";
"1";"12k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R44";"RESISTOR, European symbol";"";
"1";"180k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R86";"RESISTOR, European symbol";"";
"1";"1M";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R94";"RESISTOR, European symbol";"";
"6";"1N4148";"1N4148DO35-7";"DO35-7";"D1, D2, D3, D4, D5, D6";"DIODE";"";
"4";"1k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R12, R13, R14, R15";"RESISTOR, European symbol";"";
"1";"1nF";"CAPACITORCERAMICDISC/5";"CERAMICDISC/5";"C3";"CAPACITOR, European symbol";"";
"2";"2.2k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R19, R20";"RESISTOR, European symbol";"";
"9";"2.2uF";"CAPACITOR/POLARIZEDE2.5-6";"E2,5-6";"C21, C22, C23, C24, C25, C26, C27, C28, C29";"POLARIZED CAPACITOR, European symbol";"C";
"6";"200k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R87, R88, R89, R90, R91, R92";"RESISTOR, European symbol";"";
"5";"20k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R35, R45, R46, R47, R48";"RESISTOR, European symbol";"";
"5";"220R";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R2, R3, R4, R5, R6";"RESISTOR, European symbol";"";
"1";"22k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R49";"RESISTOR, European symbol";"";
"2";"22nF";"CAPACITORCERAMICDISC/5";"CERAMICDISC/5";"C14, C15";"CAPACITOR, European symbol";"";
"4";"27k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R50, R51, R52, R53";"RESISTOR, European symbol";"";
"8";"2N3904";"2N3904";"TO92";"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q9";"NPN Transistor";"";
"6";"2N3906";"2N3906";"TO92";"Q8, Q10, Q11, Q12, Q13, Q14";"PNP Transistor";"";
"1";"2k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R18";"RESISTOR, European symbol";"";
"1";"3.9k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R21";"RESISTOR, European symbol";"";
"1";"330k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R93";"RESISTOR, European symbol";"";
"2";"390R";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R7, R8";"RESISTOR, European symbol";"";
"1";"4.7k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R22";"RESISTOR, European symbol";"";
"1";"4.7uF";"CAPACITOR/POLARIZEDE2.5-6";"E2,5-6";"C30";"POLARIZED CAPACITOR, European symbol";"C";
"1";"4046N";"4046N";"DIL16";"IC4";"Micropower PLL";"";
"2";"47k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R54, R55";"RESISTOR, European symbol";"";
"3";"5.1k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R23, R24, R25";"RESISTOR, European symbol";"";
"2";"560R";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R9, R10";"RESISTOR, European symbol";"";
"4";"56k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R56, R57, R58, R59";"RESISTOR, European symbol";"";
