"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEPREFIX";
"6";"";"1N4148DO35-7";"DO35-7";"D1, D2, D3, D4, D5, D7";"DIODE";"";
"1";"";"CAPACITOR/POLARIZEDE2.5-6";"E2,5-6";"C12";"POLARIZED CAPACITOR, European symbol";"";
"1";"";"TRIMMER64X";"TRIMMER/64B";"R19";"Trimm resistor";"";
"1";"1.8k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R48";"RESISTOR, European symbol";"";
"1";"100R";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R18";"RESISTOR, European symbol";"";
"14";"100k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R3, R4, R5, R6, R15, R16, R28, R29, R30, R31, R41, R42, R57, R59";"RESISTOR, European symbol";"";
"2";"10M";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R14, R51";"RESISTOR, European symbol";"";
"2";"10uF";"CAPACITOR/POLARIZEDE2.5-6";"E2,5-6";"C1, C2";"POLARIZED CAPACITOR, European symbol";"C";
"1";"150k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R61";"RESISTOR, European symbol";"";
"9";"1M";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R24, R27, R37, R40, R44, R45, R53, R55, R56";"RESISTOR, European symbol";"";
"2";"1k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R54, R62";"RESISTOR, European symbol";"";
"2";"1nF";"CAPACITORCERAMICDISC/5";"CERAMICDISC/5";"C3, C4";"CAPACITOR, European symbol";"";
"3";"2.2k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R22, R34, R52";"RESISTOR, European symbol";"";
"4";"220k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R9, R10, R12, R13";"RESISTOR, European symbol";"";
"1";"22nF";"CAPACITORCERAMICDISC/5";"CERAMICDISC/5";"C7";"CAPACITOR, European symbol";"";
"3";"2N3904";"2N3904";"TO92";"Q2, Q3, Q6";"NPN Transistor";"";
"3";"2N3906";"2N3906";"TO92";"Q1, Q4, Q5";"PNP Transistor";"";
"1";"300k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R50";"RESISTOR, European symbol";"";
"1";"330R";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R60";"RESISTOR, European symbol";"";
"2";"330k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R46, R47";"RESISTOR, European symbol";"";
"2";"33k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R1, R2";"RESISTOR, European symbol";"";
"2";"470k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R25, R38";"RESISTOR, European symbol";"";
"6";"47pF";"CAPACITORCERAMICDISC/5";"CERAMICDISC/5";"C5, C6, C8, C9, C10, C11";"CAPACITOR, European symbol";"";
"1";"5.6V Zener";"1N4148DO35-7";"DO35-7";"D6";"DIODE";"";
"1";"620k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R58";"RESISTOR, European symbol";"";
"1";"68k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R11";"RESISTOR, European symbol";"";
"1";"8.2k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R17";"RESISTOR, European symbol";"";
"4";"820k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R7, R8, R23, R36";"RESISTOR, European symbol";"";
"5";"82k";"RESISTORRESISTOR/UPRIGHT/7.5";"RESISTOR/7.5";"R20, R21, R32, R33, R49";"RESISTOR, European symbol";"";
"35";"HEADER/MALE/01";"HEADER/MALE/01";"HEADER/MALE/01";"+V, +V2, +V3, -V, -V2, -V3, ACOUT, BOTHCV, CYC1, CYC2, END, EXPIN, FALL1, FALL2, FALL3, FALLCV, FALLRT, GND, GND2, GND3, IN, INV, LED+, LED-, OUT, RISE1, RISE2, RISE3, RISECV, RISERT, SWF1, SWF2, SWR1, SWR2, TRIG";"";"X";
"1";"LM3900N";"LM3900N";"DIL14";"IC1";"OP AMP";"";
"2";"TL074P";"TL074P";"DIL14";"IC2, IC3";"OP AMP";"";
